Timestamp,Level,Component,SessionID,Duration_ms,Message
2026-02-24 08:00:00,INFO,WebServer,sess-001,5,Request received GET /home
2026-02-24 08:00:00,DEBUG,Auth,sess-001,2,Token validation started
2026-02-24 08:00:00,INFO,Auth,sess-001,8,User authenticated: admin
2026-02-24 08:00:01,INFO,WebServer,sess-001,145,Response sent 200 OK
2026-02-24 08:01:00,WARN,Database,sess-002,2100,Slow query detected: 2100ms
2026-02-24 08:01:05,ERROR,Database,sess-002,5001,Query timeout after 5000ms
2026-02-24 08:01:06,INFO,Database,sess-002,0,Fallback to read replica
2026-02-24 08:02:00,INFO,Cache,sess-003,1,Cache HIT for key: user:42
2026-02-24 08:03:00,ERROR,PaymentService,sess-004,3500,Payment gateway timeout
2026-02-24 08:03:01,INFO,PaymentService,sess-004,0,Retry queued
